Time	Fx	Fy	Fz	Mx	My	Mz
3.969000	-0.15112105	0.49313310	1.97036469	0.38895288	-0.01103994	-0.00714012
3.970000	0.01330918	1.15085435	0.98378259	0.38895288	0.08761827	-0.15512739
3.971000	0.17773965	0.65756345	2.62808561	0.38895288	-0.10969816	-0.00714012
3.972000	0.67103046	1.15085435	0.65492189	-0.05500886	-0.01103994	-0.15512739
3.973000	0.50660014	0.49313310	-0.33166027	0.53694022	-0.20835623	-0.30311471
3.974000	0.17773965	0.32870275	-0.98938143	0.53694022	-0.10969816	-0.30311471
3.975000	0.67103046	0.49313310	-0.00279956	0.24096578	0.18627648	-0.22912106
3.976000	0.34216976	0.65756345	0.65492189	-0.20299618	-0.20835623	-0.22912106
3.977000	0.67103046	0.49313310	2.29922485	0.68492752	-0.10969816	-0.00714012
3.978000	0.01330918	1.15085435	1.31264329	-0.20299618	0.38359290	-0.08113378
3.979000	0.17773965	0.49313310	1.64150405	0.24096578	-0.20835623	0.06685354
3.980000	-0.15112105	0.49313310	0.32606116	0.68492752	-0.10969816	-0.45110199
3.981000	0.83546084	0.32870275	-0.66052049	0.09297836	0.18627648	-0.30311471
3.982000	1.32875192	0.82199377	0.32606116	-0.05500886	0.18627648	-0.30311471
3.983000	1.16432154	0.65756345	-0.98938143	-0.20299618	-0.30701452	-0.30311471
3.984000	0.50660014	0.49313310	-0.98938143	-0.20299618	-0.10969816	-0.08113378
3.985000	0.50660014	0.82199377	-0.00279956	0.83291483	-0.20835623	-0.30311471
3.986000	0.50660014	1.15085435	0.65492189	-0.20299618	0.38359290	-0.08113378
3.987000	0.34216976	0.16427250	0.32606116	0.38895288	0.18627648	-0.30311471
3.988000	0.34216976	0.16427250	-0.66052049	0.38895288	-0.01103994	-0.22912106
3.989000	0.17773965	0.82199377	-0.33166027	-0.35098350	0.18627648	-0.30311471
3.990000	1.16432154	0.49313310	1.31264329	-0.20299618	-0.30701452	-0.15512739
3.991000	0.17773965	1.15085435	1.31264329	-0.20299618	0.18627648	-0.37710831
3.992000	0.67103046	0.49313310	1.31264329	0.09297836	0.18627648	-0.15512739
3.993000	0.50660014	0.65756345	-0.33166027	-0.35098350	-0.30701452	-0.08113378
3.994000	0.34216976	0.32870275	-0.00279956	0.24096578	0.18627648	-0.22912106
3.995000	-0.15112105	0.65756345	0.32606116	-0.35098350	-0.01103994	-0.22912106
3.996000	0.50660014	0.98642403	-2.30482411	-0.64695805	0.18627648	-0.22912106
3.997000	0.83546084	0.65756345	-0.98938143	-0.05500886	-0.30701452	-0.30311471
